T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição
281184641,1594,1717,0,0,15.586656373
281186641,1564,1718,0,0,15.589176737
281188641,1629,1729,0,0,15.592628063
281190641,1585,1693,0,0,15.597941317
281192641,1484,1797,0,0,15.602056066
281194641,1453,1764,0,0,15.602575303
281196641,1548,1733,0,0,15.604270219
281198641,1575,1750,0,0,15.611843536
281200641,1643,1745,0,0,15.619115944
281202641,1668,1682,0,0,15.623078353
281204641,1633,1717,255,0,15.627040763
281206641,1617,1740,255,0,15.633431197
281208641,1554,1539,255,0,15.639821631
281210641,1464,1641,255,0,15.640473333
281212641,1510,1691,255,0,15.640603333
281214641,1578,1466,255,0,15.643199036
281216641,1578,1483,255,0,15.646287879
281218641,1487,1456,255,0,15.647180957
281220641,1371,1388,255,0,15.647342114
281222641,1442,1475,255,0,15.649656703
281224641,1460,1233,255,0,15.653048007
281226641,1349,1283,255,0,15.654576984
281228641,1511,1191,255,0,15.654775726
281230641,1415,1205,255,0,15.656133104
281232641,1467,1135,255,0,15.658649118
281234641,1464,1159,255,0,15.661253628
281236641,1359,1153,255,0,15.663982033
281238641,1444,1047,255,0,15.671277532
281240641,1446,1090,255,0,15.687707217
281242641,1425,1083,255,0,15.70239611
281244641,1420,1124,255,0,15.711862625
281246641,1321,1133,255,0,15.72587961
281248641,1348,1179,255,0,15.762648944
281250641,1460,1116,255,0,15.799440859
281252641,1483,935,255,0,15.836481171
281254641,1392,1011,255,0,15.873521483
281256641,1423,1111,255,0,15.906503898
281258641,1402,999,255,0,15.939486314
281260641,1370,1009,255,0,16.017616793
281262641,1371,1026,255,0,16.099851641
281264641,1333,898,255,0,16.146757885
281266641,1348,1049,255,0,16.186598407
281268641,1410,1031,255,0,16.261645678
281270641,1371,887,255,0,16.348428533
281272641,1447,1075,255,0,16.462733135
281274641,1448,973,255,0,16.590798611
281276641,1333,828,255,0,16.722119576
281278641,1459,1004,255,0,16.855765889
281280641,1443,1035,255,0,17.005656311
281282641,1467,1114,255,0,17.171790842
281284641,1393,878,255,0,17.36384605
281286641,1342,913,255,0,17.592190206
281288641,1419,1041,255,0,17.849
281290641,1406,921,255,0,18.162741071
281292641,1453,1026,255,0,18.50184375
281294641,1333,898,255,0,18.91703125
281296641,1369,1002,255,0,19.351041667
281298641,1410,1074,255,0,19.879166667
281300641,1371,1039,255,0,20.424895833
281302641,1410,1030,255,0,21.164270833
281304641,1345,997,255,0,21.903645833
281306641,1406,986,255,0,23.905645833
281308641,1436,961,255,0,25.907645833
281310641,1436,1037,255,0,26.074479167
281312641,1348,831,255,0,26.074479167
281314641,1365,975,255,0,26.074479167
281316641,1358,945,255,0,26.074479167
281318641,1393,930,255,0,26.120029948
281320641,1337,982,255,0,26.180764323
281322641,1349,1117,255,0,26.204617232
281324641,1368,1023,255,0,26.210029409
281326641,1353,955,255,0,26.212284483
281328641,1356,923,255,0,26.212284483
281330641,1309,979,255,0,26.169461207
281332641,1324,852,255,0,26.083814655
281334641,1282,1044,255,0,26.033854167
281336641,1335,973,255,0,26.033854167
281338641,1334,926,255,0,26.060736883
281340641,1281,905,255,0,26.141385031
281342641,1150,914,255,0,26.203120743
281344641,1038,1069,255,0,26.208119146
281346641,1118,1167,255,0,26.211451415
281348641,1119,1305,255,0,26.206453012
281350641,1162,1230,255,0,26.199303241
281352641,1220,1281,255,0,26.168488426
281354641,1079,1330,0,0,26.137673611
281356641,1184,1363,0,0,26.152534395
281358641,1219,1351,0,0,26.16739518
281360641,1282,1512,0,0,26.180085846
281362641,1297,1299,0,0,26.192579228
281364641,1230,1536,0,0,26.194588542
281366641,1344,1452,0,0,26.194501042
281368641,1282,1547,0,0,26.193088896
281370641,1389,1509,0,0,26.191235201
281372641,1357,1534,0,0,26.190617303
281374641,1371,1460,0,0,26.190617303
281376641,1401,1516,0,0,26.191698625
281378641,1342,1561,0,0,26.193552319
281380641,1370,1626,0,0,26.194522917
281382641,1482,1563,0,0,26.194610417
281384641,1465,1568,0,0,26.203769841
281386641,1348,1585,0,0,26.22562996
281388641,1505,1640,0,0,26.240203373
281390641,1371,1653,0,0,26.240203373
281392641,1511,1717,0,0,26.240203373
281394641,1520,1547,0,0,26.240203373
281396641,1543,1731,0,0,26.240203373
281398641,1474,1635,0,0,26.240203373
281400641,1421,1628,0,0,26.238720238
