T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
279962641,1576,1681,0,0
279964641,1594,1717,0,0
279966641,1502,1654,0,0
279968641,1576,1646,0,0
279970641,1565,1801,0,0
279972641,1607,1741,0,0
279974641,1541,1664,0,0
279976641,1553,1646,0,0
279978641,1569,1627,0,0
279980641,1613,1752,0,0
279982641,1534,1758,0,0
279984641,1620,1704,0,0
279986641,1521,1585,0,0
279988641,1615,1692,0,0
279990641,1558,1798,0,0
279992641,1630,1750,0,0
279994641,1520,1652,0,0
279996641,1460,1577,0,0
279998641,1615,1846,0,0
280000641,1565,1641,0,0
280002641,1548,1718,0,0
280004641,1564,1821,0,0
280006641,1575,1778,0,0
280008641,1512,1653,0,0
280010641,1542,1707,0,0
280012641,1525,1617,0,0
280014641,1553,1669,0,0
280016641,1633,1615,0,0
280018641,1604,1769,0,0
280020641,1555,1633,0,0
280022641,1617,1601,0,0
280024641,1555,1589,0,0
280026641,1689,1672,0,0
280028641,1555,1733,0,0
280030641,1534,1681,0,0
280032641,1623,1766,0,0
280034641,1474,1693,0,0
280036641,1538,1677,0,0
280038641,1545,1633,0,0
280040641,1484,1579,0,0
280042641,1523,1701,0,0
280044641,1589,1684,0,0
280046641,1543,1675,0,0
280048641,1556,1677,0,0
280050641,1516,1730,0,0
280052641,1591,1656,0,0
280054641,1474,1692,0,0
280056641,1649,1826,0,0
280058641,1563,1643,0,0
280060641,1617,1646,0,0
280062641,1540,1504,0,0
280064641,1586,1786,0,0
280066641,1601,1713,0,0
280068641,1636,1727,0,0
280070641,1596,1743,0,0
280072641,1540,1617,0,0
280074641,1566,1627,0,0
280076641,1478,1653,0,0
280078641,1573,1641,0,0
280080641,1548,1727,0,0
280082641,1613,1668,0,0
280084641,1546,1749,0,0
280086641,1553,1730,0,0
280088641,1603,1677,0,0
280090641,1457,1692,0,0
280092641,1589,1718,0,0
280094641,1500,1834,0,0
280096641,1637,1777,0,0
280098641,1371,1765,0,0
280100641,1507,1617,0,0
280102641,1537,1713,0,0
280104641,1561,1574,0,0
280106641,1570,1641,0,0
280108641,1589,1666,0,0
280110641,1500,1670,0,0
280112641,1617,1563,0,0
280114641,1571,1684,0,0
280116641,1582,1805,0,0
280118641,1540,1679,0,0
280120641,1544,1666,0,0
280122641,1478,1680,0,0
280124641,1563,1605,0,0
280126641,1465,1733,0,0
280128641,1674,1757,0,0
280130641,1561,1718,0,0
280132641,1627,1637,0,0
280134641,1484,1670,0,0
280136641,1616,1684,0,0
280138641,1569,1672,0,0
280140641,1614,1744,0,0
280142641,1553,1685,0,0
280144641,1649,1718,0,0
280146641,1622,1795,0,0
280148641,1572,1754,0,0
280150641,1626,1600,0,0
280152641,1618,1666,0,0
280154641,1560,1602,0,0
280156641,1576,1564,0,0
280158641,1574,1631,0,0
280160641,1612,1717,0,0
280162641,1566,1833,0,0
280164641,1483,1688,0,0
280166641,1550,1829,0,0
280168641,1453,1670,0,0
280170641,1478,1769,0,0
280172641,1563,1822,0,0
280174641,1534,1684,0,0
280176641,1511,1666,0,0
280178641,1536,1656,0,0
280180641,1553,1709,0,0
280182641,1581,1813,0,0
280184641,1525,1697,0,0
280186641,1607,1460,0,0
280188641,1520,1629,0,0
280190641,1505,1673,0,0
280192641,1639,1767,0,0
280194641,1544,1793,0,0
280196641,1581,1646,0,0
280198641,1579,1773,0,0
280200641,1653,1662,0,0
280202641,1585,1723,0,0
280204641,1615,1685,0,0
280206641,1555,1589,0,0
280208641,1613,1616,0,0
280210641,1525,1761,0,0
280212641,1486,1672,0,0
280214641,1515,1705,0,0
280216641,1508,1726,0,0
280218641,1556,1692,0,0
280220641,1512,1529,0,0
280222641,1565,1748,0,0
280224641,1577,1652,0,0
280226641,1642,1710,0,0
280228641,1605,1769,0,0
280230641,1512,1705,0,0
280232641,1574,1692,0,0
280234641,1480,1670,0,0
280236641,1617,1679,0,0
280238641,1554,1643,0,0
280240641,1505,1628,0,0
280242641,1553,1697,0,0
280244641,1640,1779,0,0
280246641,1616,1746,0,0
280248641,1606,1789,0,0
280250641,1515,1705,0,0
280252641,1457,1753,0,0
280254641,1536,1735,0,0
280256641,1584,1723,0,0
280258641,1551,1757,0,0
280260641,1548,1654,0,0
280262641,1589,1641,0,0
280264641,1461,1677,0,0
280266641,1461,1693,0,0
280268641,1483,1538,0,0
280270641,1568,1741,0,0
280272641,1500,1611,0,0
280274641,1634,1685,0,0
280276641,1569,1709,0,0
280278641,1579,1707,0,0
280280641,1521,1779,0,0
280282641,1533,1630,0,0
280284641,1641,1815,0,0
280286641,1552,1691,0,0
280288641,1624,1641,0,0
280290641,1565,1614,0,0
280292641,1604,1613,0,0
280294641,1551,1733,0,0
280296641,1550,1730,0,0
280298641,1454,1813,0,0
280300641,1605,1813,0,0
280302641,1533,1793,0,0
280304641,1512,1768,0,0
280306641,1615,1697,0,0
280308641,1549,1516,0,0
280310641,1571,1622,0,0
280312641,1575,1778,0,0
280314641,1593,1798,0,0
280316641,1544,1653,0,0
280318641,1588,1781,0,0
280320641,1569,1713,0,0
280322641,1589,1677,0,0
280324641,1518,1735,0,0
280326641,1481,1769,0,0
280328641,1492,1645,0,0
280330641,1570,1776,0,0
280332641,1512,1824,0,0
280334641,1564,1793,0,0
280336641,1640,1684,0,0
280338641,1576,1737,0,0
280340641,1622,1632,0,0
280342641,1588,1802,0,0
280344641,1614,1589,0,0
280346641,1585,1785,0,0
280348641,1606,1735,0,0
280350641,1602,1566,0,0
280352641,1582,1607,0,0
280354641,1585,1669,0,0
280356641,1598,1632,0,0
280358641,1568,1737,0,0
280360641,1648,1768,0,0
280362641,1588,1700,0,0
280364641,1568,1701,0,0
280366641,1638,1623,0,0
280368641,1680,1767,0,0
280370641,1470,1709,0,0
280372641,1595,1828,0,0
280374641,1594,1749,0,0
280376641,1574,1697,0,0
280378641,1487,1663,0,0
280380641,1608,1802,0,0
280382641,1538,1820,0,0
280384641,1585,1761,0,0
280386641,1585,1644,0,0
280388641,1577,1760,0,0
280390641,1628,1669,0,0
280392641,1538,1622,0,0
280394641,1677,1666,0,0
280396641,1579,1629,0,0
280398641,1569,1681,0,0
280400641,1605,1608,0,0
280402641,1611,1717,0,0
280404641,1474,1568,0,1
280406641,1645,1737,0,1
280408641,1536,1655,0,1
280410641,1569,1600,0,1
280412641,1556,1768,0,1
280414641,1561,1729,0,1
280416641,1454,1641,0,1
280418641,1625,1730,0,1
280420641,1610,1710,0,1
280422641,1564,1628,0,1
280424641,1396,1657,0,1
280426641,1589,1671,0,1
280428641,1595,1692,0,1
280430641,1641,1669,0,1
280432641,1669,1665,0,1
280434641,1482,1666,0,1
280436641,1488,1781,0,1
280438641,1530,1697,0,1
280440641,1638,1578,0,1
280442641,1604,1630,0,1
280444641,1615,1644,0,1
280446641,1500,1658,0,1
280448641,1565,1637,0,1
280450641,1525,1696,0,1
280452641,1603,1822,0,1
280454641,1576,1794,0,1
280456641,1597,1602,0,1
280458641,1463,1566,0,1
280460641,1513,1768,0,1
280462641,1639,1726,0,1
280464641,1469,1697,0,1
280466641,1440,1707,0,1
280468641,1566,1735,0,1
280470641,1636,1830,0,1
280472641,1536,1637,0,1
280474641,1536,1538,0,1
280476641,1602,1739,0,1
280478641,1589,1649,0,1
280480641,1576,1681,0,1
280482641,1542,1876,0,1
280484641,1513,1666,0,1
280486641,1558,1733,0,1
280488641,1525,1666,0,1
280490641,1530,1705,0,1
280492641,1549,1632,0,1
280494641,1528,1601,0,1
280496641,1601,1679,0,1
280498641,1531,1721,0,1
280500641,1564,1661,0,1
280502641,1538,1729,0,1
280504641,1610,1548,0,1
280506641,1616,1728,0,1
280508641,1584,1768,0,1
