T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
4003971258,1500,1700,0,0,13.75,11405.166666667,1,4.166666667,,
4003973258,1502,1700,0,0,13.75,11407.166666667,1,4.166666667,,
4003975258,1500,1693,0,0,13.75,11409.166666667,1,4.166666667,,
4003977258,1501,1694,0,0,13.75,11411.166666667,1,4.166666667,,
4003979258,1510,1697,0,0,13.75,11413.166666667,1,4.166666667,,
4003981258,1498,1696,0,0,13.75,11415.166666667,1,4.166666667,,
4003983258,1511,1693,0,0,13.75,11417.166666667,1,4.166666667,,
4003985258,1500,1696,0,0,13.75,11419.166666667,1,4.166666667,,
4003987258,1501,1693,0,0,13.75,11421.166666667,1,4.166666667,,
4003989258,1507,1693,0,0,13.75,11423.166666667,1,4.166666667,,
4003991258,1500,1690,0,0,13.75,11425.166666667,1,4.166666667,,
4003993258,1509,1690,0,0,13.75,11427.166666667,1,4.166666667,,
4003995258,1501,1693,0,0,13.75,11429.166666667,1,4.166666667,,
4003997258,1495,1695,0,0,13.75,11431.166666667,1,4.166666667,,
4003999258,1499,1692,0,0,13.75,11433.166666667,1,4.166666667,,
4004001258,1505,1699,0,0,13.75,11435.166666667,1,4.166666667,,
4004003258,1507,1699,0,0,13.75,11437.166666667,1,4.166666667,,
4004005258,1500,1701,0,0,13.75,11439.166666667,1,4.166666667,,
4004007258,1504,1696,0,0,13.75,11441.166666667,1,4.166666667,,
4004009258,1497,1692,0,0,13.75,11443.166666667,1,4.166666667,,
4004011258,1504,1693,0,0,13.75,11445.166666667,1,4.166666667,,
4004013258,1497,1693,0,0,13.750467003,11447.166666667,1,4.166666667,,
4004015258,1505,1696,0,0,13.751167506,11449.166666667,1,4.166666667,,
4004017258,1504,1704,0,0,13.751948192,11451.166666667,1,4.166666667,,
4004019258,1504,1701,0,0,13.752786149,11453.166666667,1,4.166666667,,
4004021258,1500,1703,0,0,13.753205128,11455.166666667,1,4.166666667,,
4004023258,1504,1692,0,0,13.753205128,11457.166666667,1,4.166666667,,
4004025258,1501,1695,0,0,13.753205128,11459.166666667,1,4.166666667,,
4004027258,1492,1700,0,0,13.753205128,11461.166666667,1,4.166666667,,
4004029258,1504,1692,0,0,13.753205128,11463.166666667,1,4.166666667,,
4004031258,1500,1697,0,0,13.753205128,11465.166666667,1,4.166666667,,
4004033258,1504,1685,0,0,13.753216688,11467.166666667,1,4.166666667,,
4004035258,1508,1699,0,0,13.753262926,11469.166666667,1,4.166666667,,
4004037258,1497,1694,0,0,13.753293751,11471.166666667,1,4.166666667,,
4004039258,1499,1692,0,0,13.753247513,11473.166666667,1,4.166666667,,
4004041258,1501,1694,0,0,13.753205128,11475.166666667,1,4.166666667,,
4004043258,1492,1690,0,0,13.753205128,11477.166666667,1,4.166666667,,
4004045258,1499,1692,0,0,13.753205128,11479.166666667,1,4.166666667,,
4004047258,1500,1693,0,0,13.753095238,11481.166666667,1,4.166666667,,
4004049258,1502,1697,0,0,13.752985348,11483.166666667,1,4.166666667,,
4004051258,1496,1694,0,0,13.75297619,11485.166666667,1,4.166666667,,
4004053258,1499,1692,0,0,13.75297619,11487.166666667,1,4.166666667,,
4004055258,1501,1699,0,0,13.75297619,11489.166666667,1,4.166666667,,
4004057258,1504,1688,0,0,13.75297619,11491.166666667,1,4.166666667,,
4004059258,1494,1692,0,0,13.752821429,11493.166666667,1,4.166666667,,
4004061258,1497,1692,0,0,13.752615079,11495.166666667,1,4.166666667,,
4004063258,1500,1694,0,0,13.752445767,11497.166666667,1,4.166666667,,
4004065258,1492,1693,0,0,13.752294974,11499.166666667,1,4.166666667,,
4004067258,1505,1693,0,0,13.752118839,11501.166666667,1,4.166666667,,
4004069258,1504,1689,0,0,13.751924603,11503.166666667,1,4.166666667,,
4004071258,1499,1692,0,0,13.751483229,11505.166666667,1,4.166666667,,
4004073258,1496,1696,0,0,13.750794715,11507.166666667,1,4.166666667,,
4004075258,1504,1692,0,0,13.750393082,11509.166666667,1,4.166666667,,
4004077258,1504,1692,0,0,13.750393082,11511.166666667,1,4.166666667,,
4004079258,1494,1697,0,0,13.750330189,11513.166666667,1,4.166666667,,
4004081258,1504,1692,0,0,13.750141509,11515.166666667,1,4.166666667,,
4004083258,1500,1691,0,0,13.75,11517.166666667,1,4.166666667,,
4004085258,1512,1693,0,0,13.75,11519.166666667,1,4.166666667,,
4004087258,1504,1693,0,0,13.75,11521.166666667,1,4.166666667,,
4004089258,1503,1701,0,0,13.75,11523.166666667,1,4.166666667,,
4004091258,1501,1692,0,0,13.750015723,11525.166666667,1,4.166666667,,
4004093258,1496,1692,0,0,13.750204403,11527.166666667,1,4.166666667,,
4004095258,1504,1697,0,0,13.750393082,11529.166666667,1,4.166666667,,
4004097258,1497,1689,0,0,13.750393082,11531.166666667,1,4.166666667,,
4004099258,1501,1697,0,0,13.750393082,11533.166666667,1,4.166666667,,
4004101258,1504,1692,0,0,13.750494577,11535.166666667,1,4.166666667,,
4004103258,1505,1692,0,0,13.750605299,11537.166666667,1,4.166666667,,
4004105258,1509,1692,0,0,13.750374251,11539.166666667,1,4.166666667,,
4004107258,1508,1693,0,0,13.75007485,11541.166666667,1,4.166666667,,
4004109258,1503,1694,0,0,13.75,11543.166666667,1,4.166666667,,
4004111258,1499,1690,0,0,13.75,11545.166666667,1,4.166666667,,
4004113258,1497,1685,0,0,13.75,11547.166666667,1,4.166666667,,
4004115258,1504,1697,0,0,13.75,11549.166666667,1,4.166666667,,
4004117258,1504,1697,0,0,13.75,11551.166666667,1,4.166666667,,
4004119258,1507,1696,0,0,13.75,11553.166666667,1,4.166666667,,
4004121258,1501,1692,0,0,13.75,11555.166666667,1,4.166666667,,
4004123258,1498,1693,0,0,13.75,11557.166666667,1,4.166666667,,
4004125258,1502,1692,0,0,13.75,11559.166666667,1,4.166666667,,
4004127258,1503,1700,0,0,13.75,11561.166666667,1,4.166666667,,
4004129258,1508,1697,0,0,13.75,11563.166666667,1,4.166666667,,
4004131258,1507,1692,0,0,13.75,11565.166666667,1,4.166666667,,
4004133258,1501,1699,0,0,13.75,11567.166666667,1,4.166666667,,
4004135258,1507,1692,0,0,13.75,11569.166666667,1,4.166666667,,
4004137258,1503,1681,0,0,13.75,11571.166666667,1,4.166666667,,
4004139258,1504,1693,0,0,13.75,11573.166666667,1,4.166666667,,
4004141258,1498,1694,0,0,13.75,11575.166666667,1,4.166666667,,
4004143258,1496,1696,0,0,13.75,11577.166666667,1,4.166666667,,
4004145258,1499,1693,0,0,13.75,11579.166666667,1,4.166666667,,
4004147258,1500,1692,0,0,13.75,11581.166666667,1,4.166666667,,
4004149258,1503,1690,0,0,13.75,11583.166666667,1,4.166666667,,
4004151258,1499,1689,0,0,13.75,11585.166666667,1,4.166666667,,
4004153258,1500,1693,0,0,13.75,11587.166666667,1,4.166666667,,
4004155258,1500,1700,0,0,13.75,11589.166666667,1,4.166666667,,
4004157258,1503,1689,0,0,13.75,11591.166666667,1,4.166666667,,
4004159258,1500,1692,0,0,13.75,11593.166666667,1,4.166666667,,
4004161258,1497,1694,0,0,13.75,11595.166666667,1,4.166666667,,
4004163258,1502,1700,0,0,13.751812698,11597.166666667,1,4.166666667,,
4004165258,1492,1697,0,0,13.754531746,11599.166666667,1,4.166666667,,
4004167258,1500,1697,0,0,13.755664683,11601.166666667,1,4.166666667,,
4004169258,1501,1694,0,0,13.755664683,11603.166666667,1,4.166666667,,
4004171258,1504,1699,0,0,13.755693741,11605.166666667,1,4.166666667,,
4004173258,1504,1701,0,0,13.755751858,11607.166666667,1,4.166666667,,
4004175258,1504,1692,0,0,13.75582646,11609.166666667,1,4.166666667,,
4004177258,1492,1693,0,0,13.755924144,11611.166666667,1,4.166666667,,
4004179258,1504,1697,0,0,13.755956705,11613.166666667,1,4.166666667,,
4004181258,1496,1697,0,0,13.755859021,11615.166666667,1,4.166666667,,
4004183258,1502,1697,0,0,13.75577123,11617.166666667,1,4.166666667,,
4004185258,1502,1696,0,0,13.755713113,11619.166666667,1,4.166666667,,
4004187258,1500,1692,0,0,13.755664683,11621.166666667,1,4.166666667,,
4004189258,1497,1691,0,0,13.755664683,11623.166666667,1,4.166666667,,
4004191258,1502,1693,0,0,13.755500616,11625.166666667,1,4.166666667,,
4004193258,1505,1701,0,0,13.753531818,11627.166666667,1,4.166666667,,
4004195258,1512,1692,0,0,13.75156302,11629.166666667,1,4.166666667,,
4004197258,1508,1697,0,0,13.751562436,11631.166666667,1,4.166666667,,
4004199258,1501,1695,0,0,13.751561851,11633.166666667,1,4.166666667,,
4004201258,1495,1692,0,0,13.751561803,11635.166666667,1,4.166666667,,
4004203258,1505,1684,0,0,13.751561803,11637.166666667,1,4.166666667,,
4004205258,1501,1693,0,0,13.751561803,11639.166666667,1,4.166666667,,
4004207258,1500,1692,0,0,13.751561803,11641.166666667,1,4.166666667,,
4004209258,1503,1693,0,0,13.751561803,11643.166666667,1,4.166666667,,
4004211258,1507,1693,0,0,13.751561803,11645.166666667,1,4.166666667,,
4004213258,1497,1702,0,0,13.751660316,11647.166666667,1,4.166666667,,
4004215258,1501,1692,0,0,13.751808087,11649.166666667,1,4.166666667,,
4004217258,1507,1692,0,0,13.751869658,11651.166666667,1,4.166666667,,
4004219258,1504,1692,0,0,13.751869658,11653.166666667,1,4.166666667,,
4004221258,1503,1697,0,0,13.751869658,11655.166666667,1,4.166666667,,
4004223258,1504,1683,0,0,13.751869658,11657.166666667,1,4.166666667,,
4004225258,1500,1691,0,0,13.751874079,11659.166666667,1,4.166666667,,
4004227258,1498,1693,0,0,13.751884689,11661.166666667,1,4.166666667,,
4004229258,1500,1696,0,0,13.752668886,11663.166666667,1,4.166666667,,
4004231258,1505,1693,0,0,13.755000255,11665.166666667,1,4.166666667,,
4004233258,1509,1700,0,0,13.756784589,11667.166666667,1,4.166666667,,
4004235258,1504,1691,0,0,13.756927817,11669.166666667,1,4.166666667,,
4004237258,1504,1691,0,0,13.757084184,11671.166666667,1,4.166666667,,
4004239258,1505,1692,0,0,13.757306251,11673.166666667,1,4.166666667,,
4004241258,1502,1698,0,0,13.757867572,11675.166666667,1,4.166666667,,
4004243258,1504,1699,0,0,13.762160693,11677.166666667,1,4.166666667,,
4004245258,1500,1692,0,0,13.766453815,11679.166666667,1,4.166666667,,
4004247258,1507,1694,0,0,13.766471016,11681.166666667,1,4.166666667,,
4004249258,1503,1689,0,0,13.766488217,11683.166666667,1,4.166666667,,
4004251258,1504,1699,0,0,13.766489651,11685.166666667,1,4.166666667,,
4004253258,1506,1701,0,0,13.766489651,11687.166666667,1,4.166666667,,
4004255258,1509,1692,0,0,13.766489651,11689.166666667,1,4.166666667,,
4004257258,1496,1693,0,0,13.766489651,11691.166666667,1,4.166666667,,
4004259258,1498,1694,0,0,13.766489651,11693.166666667,1,4.166666667,,
4004261258,1505,1693,0,0,13.766489651,11695.166666667,1,4.166666667,,
4004263258,1508,1702,0,0,13.766478183,11697.166666667,1,4.166666667,,
4004265258,1504,1695,230,1,13.766460982,11699.166666667,1,4.166666667,9,0.833333333
4004267258,1492,1651,230,1,13.766421325,11701.166666667,1,4.166666667,,
4004269258,1480,1615,230,1,13.766365627,11703.166666667,1,4.166666667,,
4004271258,1476,1576,230,1,13.766094727,11705.166666667,1,4.166666667,,
4004273258,1463,1538,230,1,13.765608625,11707.166666667,1,4.166666667,,
4004275258,1456,1502,230,0,13.765126652,11709.166666667,1,4.166666667,,
4004277258,1452,1470,230,0,13.764650461,11711.166666667,1,4.166666667,,
4004279258,1436,1444,230,0,13.764333001,11713.166666667,1,4.166666667,,
4004281258,1436,1412,230,0,13.764333001,11715.166666667,1,4.166666667,,
4004283258,1428,1386,230,0,13.764111044,11717.166666667,1,4.166666667,,
4004285258,1424,1356,230,0,13.763223217,11719.166666667,1,4.166666667,,
4004287258,1411,1332,230,0,13.762448478,11721.166666667,1,4.166666667,,
4004289258,1403,1308,230,0,13.762239176,11723.166666667,1,4.166666667,,
4004291258,1405,1290,230,0,13.762047316,11725.166666667,1,4.166666667,,
4004293258,1397,1270,230,0,13.762047316,11727.166666667,1,4.166666667,,
4004295258,1388,1256,230,0,13.762047316,11729.166666667,1,4.166666667,,
4004297258,1395,1235,230,0,13.763144445,11731.166666667,1,4.166666667,,
4004299258,1385,1227,230,0,13.764241573,11733.166666667,1,4.166666667,,
4004301258,1371,1211,230,0,13.766181348,11735.166666667,1,4.166666667,,
4004303258,1371,1200,230,0,13.768197728,11737.166666667,1,4.166666667,,
4004305258,1371,1183,230,0,13.790067643,11739.166666667,1,4.166666667,,
4004307258,1371,1176,230,0,13.815908265,11741.166666667,1,4.166666667,,
4004309258,1368,1166,230,0,13.827448906,11743.166666667,1,4.166666667,,
4004311258,1368,1155,230,0,13.834222887,11745.166666667,1,4.166666667,,
4004313258,1366,1146,230,0,13.841306999,11747.166666667,1,4.166666667,,
4004315258,1365,1148,230,0,13.848546176,11749.166666667,1,4.166666667,,
4004317258,1366,1132,230,0,13.866537698,11751.166666667,1,4.166666667,,
4004319258,1360,1128,230,0,13.892209467,11753.166666667,1,4.166666667,,
4004321258,1356,1123,230,0,13.913100739,11755.166666667,1,4.166666667,,
4004323258,1360,1114,230,0,13.929211515,11757.166666667,1,4.166666667,,
4004325258,1351,1123,230,0,13.956819968,11759.166666667,1,4.166666667,,
4004327258,1348,1113,230,0,14.000525168,11761.166666667,1,4.166666667,,
4004329258,1354,1105,230,0,14.048420327,11763.166666667,1,4.166666667,,
4004331258,1351,1091,230,0,14.104695403,11765.166666667,1,4.166666667,,
4004333258,1345,1098,230,0,14.16042097,11767.166666667,1,4.166666667,,
4004335258,1345,1088,230,0,14.214498011,11769.166666667,1,4.166666667,,
4004337258,1340,1087,230,0,14.27616903,11771.166666667,1,4.166666667,,
4004339258,1345,1089,230,0,14.375809937,11773.166666667,1,4.166666667,,
4004341258,1338,1077,230,0,14.477479396,11775.166666667,1,4.166666667,,
4004343258,1340,1073,230,0,14.601462912,11777.166666667,1,4.166666667,,
4004345258,1333,1076,230,0,14.725446429,11779.166666667,1,4.166666667,,
4004347258,1334,1081,230,0,14.876815476,11781.166666667,1,4.166666667,,
4004349258,1333,1067,230,0,15.028184524,11783.166666667,1,4.166666667,,
4004351258,1332,1059,230,0,15.217840502,11785.166666667,1,4.166666667,,
4004353258,1326,1067,230,0,15.41097711,11787.166666667,1,4.166666667,,
4004355258,1322,1053,230,0,15.66092747,11789.166666667,1,4.166666667,,
4004357258,1319,1059,230,0,15.922240581,11791.166666667,1,4.166666667,,
4004359258,1308,1054,230,0,16.233528261,11793.166666667,1,4.166666667,,
4004361258,1300,1047,230,0,16.561474132,11795.166666667,1,4.166666667,,
4004363258,1294,1051,230,0,16.982962204,11797.166666667,1,4.166666667,,
4004365258,1291,1041,0,0,17.451221377,11799.166666667,1,4.166666667,,
4004367258,1295,1082,0,0,17.985244478,11801.166666667,1,4.166666667,,
4004369258,1308,1134,0,0,18.566241814,11803.166666667,1,4.166666667,,
4004371258,1308,1179,0,0,19.233122766,11805.166666667,1,4.166666667,,
4004373258,1312,1221,0,0,19.985887335,11807.166666667,1,4.166666667,,
4004375258,1316,1275,0,0,21.033516178,11809.166666667,1,4.166666667,,
4004377258,1321,1351,0,0,22.493955005,11811.166666667,1,4.166666667,,
4004379258,1316,1483,0,0,23.476767947,11813.166666667,1,4.166666667,,
4004381258,1322,1500,0,0,23.50432912,11815.166666667,1,4.166666667,,
4004383258,1338,1523,0,0,23.531169884,11817.166666667,1,4.166666667,,
4004385258,1349,1538,0,0,23.555849421,11819.166666667,1,4.166666667,,
4004387258,1359,1562,0,0,23.576415701,11821.166666667,1,4.166666667,,
4004389258,1367,1575,0,0,23.576415701,11823.166666667,1,4.166666667,,
4004391258,1371,1589,0,0,23.576415701,11825.166666667,1,4.166666667,,
4004393258,1371,1600,0,0,23.576415701,11827.166666667,1,4.166666667,,
