frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
134,7.919636358954551,7.919636358954551,525.0,166.0,54.0,471.0,112.0,579.0,220.0,0.6442073928671377,True,hough,157,44,472,359,16.919968787264995,1.0
135,7.978738122827346,7.978738122827346,509.0,179.0,74.0,435.0,105.0,583.0,253.0,0.5135456167794363,True,hough,157,44,472,359,16.919968787264995,1.0
136,8.03783988670014,8.03783988670014,504.0,184.0,74.0,430.0,110.0,578.0,258.0,0.5192582457791546,True,hough,157,44,472,359,16.919968787264995,1.0
137,8.096941650572937,8.096941650572937,503.0,181.0,75.0,428.0,106.0,578.0,256.0,0.5102815167763519,True,hough,157,44,472,359,16.919968787264995,1.0
138,8.156043414445731,8.156043414445731,504.0,185.0,74.0,430.0,111.0,578.0,259.0,0.5195094851686464,True,hough,157,44,472,359,16.919968787264995,1.0
139,8.215145178318528,8.215145178318528,503.0,181.0,75.0,428.0,106.0,578.0,256.0,0.510864751598727,True,hough,157,44,472,359,16.919968787264995,1.0
140,8.274246942191322,8.274246942191322,522.0,168.0,55.0,467.0,113.0,577.0,223.0,0.6373022918509267,True,hough,157,44,472,359,16.919968787264995,1.0
141,8.333348706064116,8.333348706064116,509.0,181.0,74.0,435.0,107.0,583.0,255.0,0.5155895716265413,True,hough,157,44,472,359,16.919968787264995,1.0
142,8.392450469936913,8.392450469936913,522.0,168.0,55.0,467.0,113.0,577.0,223.0,0.6363993239844512,True,hough,157,44,472,359,16.919968787264995,1.0
143,8.451552233809707,8.451552233809707,513.0,192.0,63.0,450.0,129.0,576.0,255.0,0.5890868792794945,True,hough,157,44,472,359,16.919968787264995,1.0
144,8.510653997682503,8.510653997682503,506.0,184.0,72.0,434.0,112.0,578.0,256.0,0.5356221162637753,True,hough,157,44,472,359,16.919968787264995,1.0
145,8.569755761555298,8.569755761555298,520.0,171.0,58.0,462.0,113.0,578.0,229.0,0.616460584255616,True,hough,157,44,472,359,16.919968787264995,1.0
146,8.628857525428094,8.628857525428094,519.0,173.0,60.0,459.0,113.0,579.0,233.0,0.602898151397271,True,hough,157,44,472,359,16.919968787264995,1.0
147,8.687959289300888,8.687959289300888,524.0,168.0,54.0,470.0,114.0,578.0,222.0,0.6433428681616842,True,hough,157,44,472,359,16.919968787264995,1.0
148,8.747061053173683,8.747061053173683,504.0,186.0,74.0,430.0,112.0,578.0,260.0,0.5216494777328795,True,hough,157,44,472,359,16.919968787264995,1.0
149,8.806162817046479,8.806162817046479,519.0,172.0,59.0,460.0,113.0,578.0,231.0,0.6097794648959696,True,hough,157,44,472,359,16.919968787264995,1.0
