frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
70,0,180.03688046900822,284.16420506932485,73.0,194.0,218.0,168.0,1.2976190476190477,28741.5,0.7847722804718218,0.8205991296485695,83.55089036613508,0.8076614057416052,dark_blob,75.0,73.0,0.0,445.0,10.894024276377218,0.11141319272807164,True,True,OK,195.0,195.78571428571428,178.0,217
71,0,180.0261495902709,284.16189084329386,73.0,194.0,218.0,168.0,1.2976190476190477,28738.5,0.7846903669724771,0.8205134768846597,83.53851188425766,0.8076628470613562,dark_blob,75.0,73.0,0.0,445.0,10.895127748068923,0.11147810282758369,True,True,OK,195.0,195.77272727272728,178.0,217
72,0,180.04135279483654,284.16198395991717,73.0,194.0,218.0,168.0,1.2976190476190477,28740.5,0.7847449759720402,0.8205705789238673,83.50871452190687,0.8077511081085768,dark_blob,75.0,73.0,0.0,445.0,10.897431487214767,0.1116136168949863,True,True,OK,195.0,195.74561403508773,178.0,217
73,0,180.04563088217387,284.1610215194057,73.0,194.0,218.0,168.0,1.2976190476190477,28741.5,0.7847722804718218,0.8205991311230773,83.53466744738745,0.8075847222270031,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
74,0,180.04150214816232,284.1638343392879,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133340218865,83.53256190377795,0.807626349151863,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
75,0,180.04798511226673,284.16242586569734,73.0,194.0,218.0,168.0,1.2976190476190477,28748.5,0.7849634119702927,0.820798988850538,83.515564738292,0.8076864784286385,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
76,0,180.04686113865262,284.17617283306373,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847844769443,83.5384350461496,0.8076059173938394,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
77,0,180.04672198159648,284.17610325453563,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847844769443,83.52124948339991,0.8076381403239948,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
78,0,180.0457288966969,284.163016820024,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133354965993,83.50432207183938,0.8076792990137133,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
79,0,180.03717103546643,284.16350385277696,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133357915419,83.52092158280814,0.8076481749660399,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
80,0,180.03501539424934,284.1652316095253,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847832972151,83.5267943242871,0.8075879038562808,dark_blob,75.0,73.0,0.0,445.0,10.869044236051908,0.10994377859128868,True,True,OK,195.0,196.07971014492753,178.0,217
