T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
1236551258,1496,1706,0,0,10.772156863,4628.70281765,1,4.166666667,,
1236553258,1500,1703,0,0,10.772156863,4630.702551834,1,4.166666667,,
1236555258,1490,1706,0,0,10.772156863,4632.702286018,1,4.166666667,,
1236557258,1487,1709,0,0,10.772156863,4634.702020202,1,4.166666667,,
1236559258,1492,1709,0,0,10.772156863,4636.701754386,1,4.166666667,,
1236561258,1492,1706,0,0,10.773098296,4638.70148857,1,4.166666667,,
1236563258,1492,1705,0,0,10.774665198,4640.701222754,1,4.166666667,,
1236565258,1494,1706,0,0,10.775114792,4642.700956938,1,4.166666667,,
1236567258,1487,1701,0,0,10.774521448,4644.700691122,1,4.166666667,,
1236569258,1495,1708,0,0,10.773572821,4646.700425306,1,4.166666667,,
1236571258,1493,1702,0,0,10.772160105,4648.70015949,1,4.166666667,,
1236573258,1492,1702,0,0,10.770963402,4650.699893674,1,4.166666667,,
1236575258,1496,1701,0,0,10.770167877,4652.699627858,1,4.166666667,,
1236577258,1487,1695,0,0,10.769584267,4654.699362041,1,4.166666667,,
1236579258,1500,1697,0,0,10.769584267,4656.699096225,1,4.166666667,,
1236581258,1492,1709,0,0,10.769584267,4658.698830409,1,4.166666667,,
1236583258,1492,1707,0,0,10.769584267,4660.698564593,1,4.166666667,,
1236585258,1499,1706,0,0,10.769584267,4662.698298777,1,4.166666667,,
1236587258,1500,1702,0,0,10.769584267,4664.698032961,1,4.166666667,,
1236589258,1492,1706,0,0,10.769525819,4666.697767145,1,4.166666667,,
1236591258,1500,1705,0,0,10.765767657,4668.697501329,1,4.166666667,,
1236593258,1495,1707,0,0,10.762009494,4670.697235513,1,4.166666667,,
1236595258,1491,1705,0,0,10.760795648,4672.696969697,1,4.166666667,,
1236597258,1496,1706,0,0,10.759767609,4674.696703881,1,4.166666667,,
1236599258,1492,1707,0,0,10.759075372,4676.696438065,1,4.166666667,,
1236601258,1496,1697,0,0,10.758443172,4678.696172249,1,4.166666667,,
1236603258,1492,1709,0,0,10.755804238,4680.695906433,1,4.166666667,,
1236605258,1492,1701,0,0,10.752547902,4682.695640617,1,4.166666667,,
1236607258,1490,1705,0,0,10.747918078,4684.695374801,1,4.166666667,,
1236609258,1494,1706,0,0,10.742645203,4686.695108985,1,4.166666667,,
1236611258,1497,1706,0,0,10.740335449,4688.694843169,1,4.166666667,,
1236613258,1495,1705,0,0,10.740021766,4690.694577352,1,4.166666667,,
1236615258,1489,1701,0,0,10.739628122,4692.694311536,1,4.166666667,,
1236617258,1501,1705,0,0,10.739158841,4694.69404572,1,4.166666667,,
1236619258,1491,1705,0,0,10.738821837,4696.693779904,1,4.166666667,,
1236621258,1498,1696,0,0,10.738659977,4698.693514088,1,4.166666667,,
1236623258,1492,1708,0,0,10.738268141,4700.693248272,1,4.166666667,,
1236625258,1495,1697,0,0,10.737442892,4702.692982456,1,4.166666667,,
1236627258,1487,1705,0,0,10.736834734,4704.69271664,1,4.166666667,,
1236629258,1487,1705,0,0,10.736834734,4706.692450824,1,4.166666667,,
1236631258,1500,1714,0,0,10.736834734,4708.692185008,1,4.166666667,,
1236633258,1494,1705,0,0,10.736834734,4710.691919192,1,4.166666667,,
1236635258,1489,1697,0,0,10.736834734,4712.691653376,1,4.166666667,,
1236637258,1491,1701,0,0,10.736834734,4714.69138756,1,4.166666667,,
1236639258,1488,1697,0,0,10.736808123,4716.691121744,1,4.166666667,,
1236641258,1499,1701,0,0,10.734632106,4718.690855928,1,4.166666667,,
1236643258,1495,1697,0,0,10.73245609,4720.690590112,1,4.166666667,,
1236645258,1492,1702,0,0,10.732300763,4722.690324296,1,4.166666667,,
1236647258,1492,1704,0,0,10.732300763,4724.69005848,1,4.166666667,,
1236649258,1488,1707,0,0,10.732090573,4726.689792663,1,4.166666667,,
1236651258,1490,1704,0,0,10.73184183,4728.689526847,1,4.166666667,,
1236653258,1495,1702,0,0,10.731782479,4730.689261031,1,4.166666667,,
1236655258,1489,1709,0,0,10.731782479,4732.688995215,1,4.166666667,,
1236657258,1495,1705,0,0,10.731008446,4734.688729399,1,4.166666667,,
1236659258,1501,1702,0,0,10.729866448,4736.688463583,1,4.166666667,,
1236661258,1492,1705,0,0,10.729324616,4738.688197767,1,4.166666667,,
1236663258,1492,1695,0,0,10.729192695,4740.687931951,1,4.166666667,,
1236665258,1497,1702,0,0,10.729128129,4742.687666135,1,4.166666667,,
1236667258,1501,1705,0,0,10.729128129,4744.687400319,1,4.166666667,,
1236669258,1487,1707,0,0,10.729128129,4746.687134503,1,4.166666667,,
1236671258,1497,1703,255,1,10.729128129,4748.686868687,1,4.166666667,5,1.313131313
1236673258,1483,1656,255,1,10.729128129,4750.686602871,1,4.166666667,,
1236675258,1476,1611,255,1,10.729128129,4752.686337055,1,4.166666667,,
1236677258,1464,1568,255,1,10.73208373,4754.686071239,1,4.166666667,,
1236679258,1451,1522,255,1,10.743462945,4756.685805423,1,4.166666667,,
1236681258,1441,1489,255,1,10.754504186,4758.685539607,1,4.166666667,,
1236683258,1436,1448,255,1,10.763964482,4760.685273791,1,4.166666667,,
1236685258,1439,1417,255,1,10.772807296,4762.685007974,1,4.166666667,,
1236687258,1423,1388,255,0,10.775593294,4764.684742158,1,4.166666667,,
1236689258,1412,1348,255,0,10.778387552,4766.684476342,1,4.166666667,,
1236691258,1411,1320,255,0,10.782101126,4768.684210526,1,4.166666667,,
1236693258,1404,1287,255,0,10.785814701,4770.68394471,1,4.166666667,,
1236695258,1400,1269,255,0,10.787450218,4772.683678894,1,4.166666667,,
1236697258,1395,1245,255,0,10.788917962,4774.683413078,1,4.166666667,,
